Sequential,Short,Name,DENOMINATORS,Tablename,unit,subsection,Column heading description in profile,AGG,order,Table descr
B3,B01_Tot_P_P,Total (Persons),,B01,people,age_gender,Persons,,3,Selected Person Characteristics
B1,B01_Tot_P_M,Total (Males),B01_Tot_P_P,B01,people,age_gender,Males,,1,Selected Person Characteristics
B2,B01_Tot_P_F,Total (Females),B01_Tot_P_P,B01,people,age_gender,Females,,2,Selected Person Characteristics
B4,B01_Age_0_4_yr_M,Age groups 0-4 years (Males),B01_Tot_P_M,B01,people,age_gender,Males,,4,Selected Person Characteristics
B5,B01_Age_0_4_yr_F,Age groups 0-4 years (Females),B01_Tot_P_F,B01,people,age_gender,Females,,5,Selected Person Characteristics
B6,B01_Age_0_4_yr_P,Age groups 0-4 years (Persons),B01_Tot_P_P,B01,people,age_gender,Persons,,6,Selected Person Characteristics
B7,B01_Age_5_14_yr_M,Age groups 5-14 years (Males),B01_Tot_P_M,B01,people,age_gender,Males,,7,Selected Person Characteristics
B8,B01_Age_5_14_yr_F,Age groups 5-14 years (Females),B01_Tot_P_F,B01,people,age_gender,Females,,8,Selected Person Characteristics
B9,B01_Age_5_14_yr_P,Age groups 5-14 years (Persons),B01_Tot_P_P,B01,people,age_gender,Persons,,9,Selected Person Characteristics
B10,B01_Age_15_19_yr_M,Age groups 15-19 years (Males),B01_Tot_P_M,B01,people,age_gender,Males,,10,Selected Person Characteristics
B11,B01_Age_15_19_yr_F,Age groups 15-19 years (Females),B01_Tot_P_F,B01,people,age_gender,Females,,11,Selected Person Characteristics
B12,B01_Age_15_19_yr_P,Age groups 15-19 years (Persons),B01_Tot_P_P,B01,people,age_gender,Persons,,12,Selected Person Characteristics
B13,B01_Age_20_24_yr_M,Age groups 20-24 years (Males),B01_Tot_P_M,B01,people,age_gender,Males,,13,Selected Person Characteristics
B14,B01_Age_20_24_yr_F,Age groups 20-24 years (Females),B01_Tot_P_F,B01,people,age_gender,Females,,14,Selected Person Characteristics
B15,B01_Age_20_24_yr_P,Age groups 20-24 years (Persons),B01_Tot_P_P,B01,people,age_gender,Persons,,15,Selected Person Characteristics
B16,B01_Age_25_34_yr_M,Age groups 25-34 years (Males),B01_Tot_P_M,B01,people,age_gender,Males,,16,Selected Person Characteristics
B17,B01_Age_25_34_yr_F,Age groups 25-34 years (Females),B01_Tot_P_F,B01,people,age_gender,Females,,17,Selected Person Characteristics
B18,B01_Age_25_34_yr_P,Age groups 25-34 years (Persons),B01_Tot_P_P,B01,people,age_gender,Persons,,18,Selected Person Characteristics
B19,B01_Age_35_44_yr_M,Age groups 35-44 years (Males),B01_Tot_P_M,B01,people,age_gender,Males,,19,Selected Person Characteristics
B20,B01_Age_35_44_yr_F,Age groups 35-44 years (Females),B01_Tot_P_F,B01,people,age_gender,Females,,20,Selected Person Characteristics
