Sequential,Short,Name,DENOMINATORS,Tablename,unit,subsection,Column heading description in profile,AGG,order,Table descr
G3,Tot_P_P,Total Persons Persons,,G01,people,age_gender,Persons,,3,Selected Person Characteristics by Sex
G1,Tot_P_M,Total Persons Males,Tot_P_P,G01,people,age_gender,Males,,1,Selected Person Characteristics by Sex
G2,Tot_P_F,Total Persons Females,Tot_P_P,G01,people,age_gender,Females,,2,Selected Person Characteristics by Sex
G4,Age_0_4_yr_M,Age groups 0 4 years Males,Tot_P_P|Tot_P_M,G01,people,age_gender,Males,,4,Selected Person Characteristics by Sex
G5,Age_0_4_yr_F,Age groups 0 4 years Females,Tot_P_P|Tot_P_F,G01,people,age_gender,Females,,5,Selected Person Characteristics by Sex
G6,Age_0_4_yr_P,Age groups 0 4 years Persons,Tot_P_P,G01,people,age_gender,Persons,,6,Selected Person Characteristics by Sex
G7,Age_5_14_yr_M,Age groups 5 14 years Males,Tot_P_P|Tot_P_M,G01,people,age_gender,Males,,7,Selected Person Characteristics by Sex
G8,Age_5_14_yr_F,Age groups 5 14 years Females,Tot_P_P|Tot_P_F,G01,people,age_gender,Females,,8,Selected Person Characteristics by Sex
G9,Age_5_14_yr_P,Age groups 5 14 years Persons,Tot_P_P,G01,people,age_gender,Persons,,9,Selected Person Characteristics by Sex
G10,Age_15_19_yr_M,Age groups 15 19 years Males,Tot_P_P|Tot_P_M,G01,people,age_gender,Males,,10,Selected Person Characteristics by Sex
G11,Age_15_19_yr_F,Age groups 15 19 years Females,Tot_P_P|Tot_P_F,G01,people,age_gender,Females,,11,Selected Person Characteristics by Sex
G12,Age_15_19_yr_P,Age groups 15 19 years Persons,Tot_P_P,G01,people,age_gender,Persons,,12,Selected Person Characteristics by Sex
G13,Age_20_24_yr_M,Age groups 20 24 years Males,Tot_P_P|Tot_P_M,G01,people,age_gender,Males,,13,Selected Person Characteristics by Sex
G14,Age_20_24_yr_F,Age groups 20 24 years Females,Tot_P_P|Tot_P_F,G01,people,age_gender,Females,,14,Selected Person Characteristics by Sex
G15,Age_20_24_yr_P,Age groups 20 24 years Persons,Tot_P_P,G01,people,age_gender,Persons,,15,Selected Person Characteristics by Sex
G16,Age_25_34_yr_M,Age groups 25 34 years Males,Tot_P_P|Tot_P_M,G01,people,age_gender,Males,,16,Selected Person Characteristics by Sex
G17,Age_25_34_yr_F,Age groups 25 34 years Females,Tot_P_P|Tot_P_F,G01,people,age_gender,Females,,17,Selected Person Characteristics by Sex
G18,Age_25_34_yr_P,Age groups 25 34 years Persons,Tot_P_P,G01,people,age_gender,Persons,,18,Selected Person Characteristics by Sex
G19,Age_35_44_yr_M,Age groups 35 44 years Males,Tot_P_P|Tot_P_M,G01,people,age_gender,Males,,19,Selected Person Characteristics by Sex
G20,Age_35_44_yr_F,Age groups 35 44 years Females,Tot_P_P|Tot_P_F,G01,people,age_gender,Females,,20,Selected Person Characteristics by Sex
G21,Age_35_44_yr_P,Age groups 35 44 years Persons,Tot_P_P,G01,people,age_gender,Persons,,21,Selected Person Characteristics by Sex
G22,Age_45_54_yr_M,Age groups 45 54 years Males,Tot_P_P|Tot_P_M,G01,people,age_gender,Males,,22,Selected Person Characteristics by Sex
G23,Age_45_54_yr_F,Age groups 45 54 years Females,Tot_P_P|Tot_P_F,G01,people,age_gender,Females,,23,Selected Person Characteristics by Sex
G24,Age_45_54_yr_P,Age groups 45 54 years Persons,Tot_P_P,G01,people,age_gender,Persons,,24,Selected Person Characteristics by Sex
G25,Age_55_64_yr_M,Age groups 55 64 years Males,Tot_P_P|Tot_P_M,G01,people,age_gender,Males,,25,Selected Person Characteristics by Sex
G26,Age_55_64_yr_F,Age groups 55 64 years Females,Tot_P_P|Tot_P_F,G01,people,age_gender,Females,,26,Selected Person Characteristics by Sex
G27,Age_55_64_yr_P,Age groups 55 64 years Persons,Tot_P_P,G01,people,age_gender,Persons,,27,Selected Person Characteristics by Sex
G28,Age_65_74_yr_M,Age groups 65 74 years Males,Tot_P_P|Tot_P_M,G01,people,age_gender,Males,,28,Selected Person Characteristics by Sex
G29,Age_65_74_yr_F,Age groups 65 74 years Females,Tot_P_P|Tot_P_F,G01,people,age_gender,Females,,29,Selected Person Characteristics by Sex
G30,Age_65_74_yr_P,Age groups 65 74 years Persons,Tot_P_P,G01,people,age_gender,Persons,,30,Selected Person Characteristics by Sex
G31,Age_75_84_yr_M,Age groups 75 84 years Males,Tot_P_P|Tot_P_M,G01,people,age_gender,Males,,31,Selected Person Characteristics by Sex
G32,Age_75_84_yr_F,Age groups 75 84 years Females,Tot_P_P|Tot_P_F,G01,people,age_gender,Females,,32,Selected Person Characteristics by Sex
G33,Age_75_84_yr_P,Age groups 75 84 years Persons,Tot_P_P,G01,people,age_gender,Persons,,33,Selected Person Characteristics by Sex
G34,Age_85ov_M,Age groups 85 years and over Males,Tot_P_P|Tot_P_M,G01,people,age_gender,Males,,34,Selected Person Characteristics by Sex
G35,Age_85ov_F,Age groups 85 years and over Females,Tot_P_P|Tot_P_F,G01,people,age_gender,Females,,35,Selected Person Characteristics by Sex
G36,Age_85ov_P,Age groups 85 years and over Persons,Tot_P_P,G01,people,age_gender,Persons,,36,Selected Person Characteristics by Sex
G37,Counted_Census_Night_home_M,Counted on Census Night At home Males,Tot_P_P|Tot_P_M,G01,people,age_gender,Males,,37,Selected Person Characteristics by Sex
G38,Counted_Census_Night_home_F,Counted on Census Night At home Females,Tot_P_P|Tot_P_F,G01,people,age_gender,Females,,38,Selected Person Characteristics by Sex
G39,Counted_Census_Night_home_P,Counted on Census Night At home Persons,Tot_P_P,G01,people,age_gender,Persons,,39,Selected Person Characteristics by Sex
G40,Count_Census_Nt_Ewhere_Aust_M,Counted on Census Night Elsewhere in Australia Males,Tot_P_P|Tot_P_M,G01,people,age_gender,Males,,40,Selected Person Characteristics by Sex
G41,Count_Census_Nt_Ewhere_Aust_F,Counted on Census Night Elsewhere in Australia Females,Tot_P_P|Tot_P_F,G01,people,age_gender,Females,,41,Selected Person Characteristics by Sex
G42,Count_Census_Nt_Ewhere_Aust_P,Counted on Census Night Elsewhere in Australia Persons,Tot_P_P,G01,people,age_gender,Persons,,42,Selected Person Characteristics by Sex
G43,Indigenous_psns_Aboriginal_M,Aboriginal and or Torres Strait Islander Persons Aboriginal Males,Tot_P_P|Tot_P_M,G01,people,age_gender,Males,,43,Selected Person Characteristics by Sex
G44,Indigenous_psns_Aboriginal_F,Aboriginal and or Torres Strait Islander Persons Aboriginal Females,Tot_P_P|Tot_P_F,G01,people,age_gender,Females,,44,Selected Person Characteristics by Sex
G45,Indigenous_psns_Aboriginal_P,Aboriginal and or Torres Strait Islander Persons Aboriginal Persons,Tot_P_P,G01,people,age_gender,Persons,,45,Selected Person Characteristics by Sex
G46,Indig_psns_Torres_Strait_Is_M,Aboriginal and or Torres Strait Islander Persons Torres Strait Islander Males,Tot_P_P|Tot_P_M,G01,people,age_gender,Males,,46,Selected Person Characteristics by Sex
G47,Indig_psns_Torres_Strait_Is_F,Aboriginal and or Torres Strait Islander Persons Torres Strait Islander Females,Tot_P_P|Tot_P_F,G01,people,age_gender,Females,,47,Selected Person Characteristics by Sex
G48,Indig_psns_Torres_Strait_Is_P,Aboriginal and or Torres Strait Islander Persons Torres Strait Islander Persons,Tot_P_P,G01,people,age_gender,Persons,,48,Selected Person Characteristics by Sex
G49,Indig_Bth_Abor_Torres_St_Is_M,Aboriginal and or Torres Strait Islander Persons Both Aboriginal and Torres Strait Islander Males,Tot_P_P|Tot_P_M,G01,people,age_gender,Males,,49,Selected Person Characteristics by Sex
G50,Indig_Bth_Abor_Torres_St_Is_F,Aboriginal and or Torres Strait Islander Persons Both Aboriginal and Torres Strait Islander Females,Tot_P_P|Tot_P_F,G01,people,age_gender,Females,,50,Selected Person Characteristics by Sex
G51,Indig_Bth_Abor_Torres_St_Is_P,Aboriginal and or Torres Strait Islander Persons Both Aboriginal and Torres Strait Islander Persons,Tot_P_P,G01,people,age_gender,Persons,,51,Selected Person Characteristics by Sex
G52,Indigenous_P_Tot_M,Aboriginal and or Torres Strait Islander Persons Total Males,Tot_P_P|Tot_P_M,G01,people,age_gender,Males,,52,Selected Person Characteristics by Sex
G53,Indigenous_P_Tot_F,Aboriginal and or Torres Strait Islander Persons Total Females,Tot_P_P|Tot_P_F,G01,people,age_gender,Females,,53,Selected Person Characteristics by Sex
G54,Indigenous_P_Tot_P,Aboriginal and or Torres Strait Islander Persons Total Persons,Tot_P_P,G01,people,age_gender,Persons,,54,Selected Person Characteristics by Sex
G55,Birthplace_Australia_M,Birthplace Australia Males,Tot_P_P|Tot_P_M,G01,people,age_gender,Males,,55,Selected Person Characteristics by Sex
G56,Birthplace_Australia_F,Birthplace Australia Females,Tot_P_P|Tot_P_F,G01,people,age_gender,Females,,56,Selected Person Characteristics by Sex
G57,Birthplace_Australia_P,Birthplace Australia Persons,Tot_P_P,G01,people,age_gender,Persons,,57,Selected Person Characteristics by Sex
G58,Birthplace_Elsewhere_M,Birthplace Elsewhere Males,Tot_P_P|Tot_P_M,G01,people,age_gender,Males,,58,Selected Person Characteristics by Sex
G59,Birthplace_Elsewhere_F,Birthplace Elsewhere Females,Tot_P_P|Tot_P_F,G01,people,age_gender,Females,,59,Selected Person Characteristics by Sex
G60,Birthplace_Elsewhere_P,Birthplace Elsewhere Persons,Tot_P_P,G01,people,age_gender,Persons,,60,Selected Person Characteristics by Sex
G61,Lang_spoken_home_Eng_only_M,Language spoken at home English only Males,Tot_P_P|Tot_P_M,G01,people,age_gender,Males,,61,Selected Person Characteristics by Sex
G62,Lang_spoken_home_Eng_only_F,Language spoken at home English only Females,Tot_P_P|Tot_P_F,G01,people,age_gender,Females,,62,Selected Person Characteristics by Sex
G63,Lang_spoken_home_Eng_only_P,Language spoken at home English only Persons,Tot_P_P,G01,people,age_gender,Persons,,63,Selected Person Characteristics by Sex
G64,Lang_spoken_home_Oth_Lang_M,Language spoken at home Other Language Males,Tot_P_P|Tot_P_M,G01,people,age_gender,Males,,64,Selected Person Characteristics by Sex
G65,Lang_spoken_home_Oth_Lang_F,Language spoken at home Other Language Females,Tot_P_P|Tot_P_F,G01,people,age_gender,Females,,65,Selected Person Characteristics by Sex
G66,Lang_spoken_home_Oth_Lang_P,Language spoken at home Other Language Persons,Tot_P_P,G01,people,age_gender,Persons,,66,Selected Person Characteristics by Sex
G67,Australian_citizen_M,Australian citizen Males,Tot_P_P|Tot_P_M,G01,people,age_gender,Males,,67,Selected Person Characteristics by Sex
G68,Australian_citizen_F,Australian citizen Females,Tot_P_P|Tot_P_F,G01,people,age_gender,Females,,68,Selected Person Characteristics by Sex
G69,Australian_citizen_P,Australian citizen Persons,Tot_P_P,G01,people,age_gender,Persons,,69,Selected Person Characteristics by Sex
G70,Age_psns_att_educ_inst_0_4_M,Age of Persons attending an educational institution 0 4 years Males,Tot_P_P|Tot_P_M,G01,people,age_gender,Males,,70,Selected Person Characteristics by Sex
G71,Age_psns_att_educ_inst_0_4_F,Age of Persons attending an educational institution 0 4 years Females,Tot_P_P|Tot_P_F,G01,people,age_gender,Females,,71,Selected Person Characteristics by Sex
G72,Age_psns_att_educ_inst_0_4_P,Age of Persons attending an educational institution 0 4 years Persons,Tot_P_P,G01,people,age_gender,Persons,,72,Selected Person Characteristics by Sex
G73,Age_psns_att_educ_inst_5_14_M,Age of Persons attending an educational institution 5 14 years Males,Tot_P_P|Tot_P_M,G01,people,age_gender,Males,,73,Selected Person Characteristics by Sex
G74,Age_psns_att_educ_inst_5_14_F,Age of Persons attending an educational institution 5 14 years Females,Tot_P_P|Tot_P_F,G01,people,age_gender,Females,,74,Selected Person Characteristics by Sex
G75,Age_psns_att_educ_inst_5_14_P,Age of Persons attending an educational institution 5 14 years Persons,Tot_P_P,G01,people,age_gender,Persons,,75,Selected Person Characteristics by Sex
G76,Age_psns_att_edu_inst_15_19_M,Age of Persons attending an educational institution 15 19 years Males,Tot_P_P|Tot_P_M,G01,people,age_gender,Males,,76,Selected Person Characteristics by Sex
G77,Age_psns_att_edu_inst_15_19_F,Age of Persons attending an educational institution 15 19 years Females,Tot_P_P|Tot_P_F,G01,people,age_gender,Females,,77,Selected Person Characteristics by Sex
G78,Age_psns_att_edu_inst_15_19_P,Age of Persons attending an educational institution 15 19 years Persons,Tot_P_P,G01,people,age_gender,Persons,,78,Selected Person Characteristics by Sex
G79,Age_psns_att_edu_inst_20_24_M,Age of Persons attending an educational institution 20 24 years Males,Tot_P_P|Tot_P_M,G01,people,age_gender,Males,,79,Selected Person Characteristics by Sex
G80,Age_psns_att_edu_inst_20_24_F,Age of Persons attending an educational institution 20 24 years Females,Tot_P_P|Tot_P_F,G01,people,age_gender,Females,,80,Selected Person Characteristics by Sex
