Nome da variável,Descrição da variável,Variable description,unit,denominators,subsection,data_sample1,data_sample2
Cod_setor,Código do setor censitário,Census sector code,,,,1.20E+14,1.20E+14
Situacao,Código de situação do setor censitário (ver planilha Basico_UF.xls),Code of situation of the census sector (see worksheet Basico_UF.xls),,,,1,8
V001,Moradores em domicílios particulares e domicílios coletivos,Residents in private homes and collective households,housing_units,Domicilio01_V001,housing,914,1153
V002,Moradores em domicílios particulares permanentes,Residents in permanent private households,housing_units,Domicilio02_V001,housing,914,1153
V003,Moradores em domicílios particulares permanentes do tipo casa,Residents in permanent private dwellings of the house type,housing_units,Domicilio02_V002,housing,904,1143
V004,Moradores em domicílios particulares permanentes do tipo casa de vila ou em condomínio,Residents in permanent private dwellings of the type of village house or in condominium,housing_units,Domicilio02_V002,housing,0,5
V005,Moradores em domicílios particulares permanentes do tipo apartamento,Residents in permanent private dwellings of the apartment type,housing_units,Domicilio02_V002,housing,10,5
V006,Moradores em domicílios particulares permanentes próprios e quitados,Residents in their own permanent homes and removed,housing_units,Domicilio02_V002,housing,688,1005
V007,Moradores em domicílios particulares permanentes próprios e em aquisição,Residents in private households owning and purchasing,housing_units,Domicilio02_V002,housing,0,0
V008,Moradores em domicílios particulares permanentes alugados,Residents in permanent private households rented,housing_units,Domicilio02_V002,housing,135,0
V009,Moradores em domicílios particulares permanentes cedidos por empregador,Residents in permanent private households provided by employer,housing_units,Domicilio02_V002,housing,29,54
V010,Moradores em domicílios particulares permanentes cedidos de outra forma,Residents in permanent private households otherwise disposed of,housing_units,Domicilio02_V002,housing,62,94
V011,"Moradores em domicílios particulares permanentes com outra condição de ocupação (não são próprios, alugados, nem cedidos)","Residents in permanent private households with other occupancy conditions (they are not owned, rented, or sold)",housing_units,Domicilio02_V002,housing,0,0
V012,Moradores em domicílios particulares permanentes com abastecimento de água da rede geral,Residents in permanent private households with water supply in the general network,housing_units,Domicilio02_V002,housing,488,0
V013,Moradores em domicílios particulares permanentes com abastecimento de água de poço ou nascente na propriedade,Residents in permanent private households with well or spring water supply in the property,housing_units,Domicilio02_V002,housing,403,818
V014,Moradores em domicílios particulares permanentes com abastecimento de água de chuva armazenada em cisterna,Residents in permanent private homes with rainwater supply stored in cistern,housing_units,Domicilio02_V002,housing,0,0
V015,Moradores em domicílios particulares permanentes com outra forma de abastecimento de água,Residents in permanent private households with another form of water supply,housing_units,Domicilio02_V002,housing,23,335
V016,Moradores em domicílios particulares permanentes com banheiro de uso exclusivo dos moradores ou sanitário,Residents in permanent private households with bathrooms exclusively for residents or sanitary,housing_units,Domicilio02_V002,housing,914,552
V017,Moradores em domicílios particulares permanentes com banheiro de uso exclusivo dos moradores ou sanitário e esgotamento sanitário via rede geral de esgoto ou pluvial,Residents in permanent private households with bathrooms for the exclusive use of residents or sanitary and sanitary sewage via general sewage or rainwater network,housing_units,Domicilio02_V016,housing,6,0
V018,Moradores em domicílios particulares permanentes com banheiro de uso exclusivo dos moradores ou sanitário e esgotamento sanitário via fossa séptica,Residents in permanent private households with bathrooms for the exclusive use of the residents or sanitary and sanitary sewage via the septic tank,housing_units,Domicilio02_V016,housing,11,172
V019,Moradores em domicílios particulares permanentes com banheiro de uso exclusivo dos moradores ou sanitário e esgotamento sanitário via fossa rudimentar,Residents in permanent private households with bathrooms for the exclusive use of residents or sanitary and sanitary sewage via the rudimentary fossa,housing_units,Domicilio02_V016,housing,825,23
V020,Moradores em domicílios particulares permanentes com banheiro de uso exclusivo dos moradores ou sanitário e esgotamento sanitário via vala,Residents in permanent private households with bathrooms for the exclusive use of residents or sanitary and sanitary sewage via ditch,housing_units,Domicilio02_V016,housing,7,344
V021,"Moradores em domicílios particulares permanentes com banheiro de uso exclusivo dos moradores ou sanitário e esgotamento sanitário via rio, lago ou mar","Residents in permanent private households with bathrooms for the exclusive use of residents or sanitary and sanitary sewage via river, lake or sea",housing_units,Domicilio02_V016,housing,0,5
V022,Moradores em domicílios particulares permanentes com banheiro de uso exclusivo dos moradores ou sanitário e esgotamento sanitário via outro escoadouro,Residents in permanent private households with bathrooms for the exclusive use of the residents or sanitary and sewage through another sewer,housing_units,Domicilio02_V016,housing,65,8
V023,Moradores em domicílios particulares permanentes sem banheiro de uso exclusivo dos moradores e nem sanitário,Residents in permanent private households without bathroom for the exclusive use of residents and nor sanitary,housing_units,Domicilio02_V016,housing,0,601
V024,Moradores em domicílios particulares permanentes com banheiro de uso exclusivo dos moradores,Residents in permanent private households with bathrooms exclusively for residents,housing_units,Domicilio02_V002,housing,849,189
V025,Moradores em domicílios particulares permanentes com 1 banheiro de uso exclusivo dos moradores,Residents in permanent private households with 1 bathroom for the exclusive use of residents,housing_units,Domicilio02_V024,housing,773,171
V026,Moradores em domicílios particulares permanentes com 2 banheiros de uso exclusivo dos moradores,Residents in permanent private households with 2 bathrooms exclusively for residents,housing_units,Domicilio02_V024,housing,65,12
V027,Moradores em domicílios particulares permanentes com 3 banheiros de uso exclusivo dos moradores,Residents in permanent private homes with 3 bathrooms exclusively for residents,housing_units,Domicilio02_V024,housing,3,6
V028,Moradores em domicílios particulares permanentes com 4 ou mais banheiros de uso exclusivo dos moradores ,Residents in permanent private households with 4 or more bathrooms for the exclusive use of residents,housing_units,Domicilio02_V024,housing,8,0
V029,Moradores em domicílios particulares permanentes sem banheiro de uso exclusivo dos moradores,Residents in permanent private households with no bathroom exclusively for residents,housing_units,Domicilio02_V002,housing,65,964
V030,Moradores em domicílios particulares permanentes com lixo coletado,Residents in permanent private households with garbage collected,housing_units,Domicilio02_V002,housing,885,0
V031,Moradores em domicílios particulares permanentes com lixo coletado por serviço de limpeza,Residents in permanent private households with garbage collected by cleaning service,housing_units,Domicilio02_V030,housing,885,0
V032,Moradores em domicílios particulares permanentes com lixo coletado em caçamba de serviço de limpeza,Residents in permanent private households with garbage collected in a cleaning service bucket,housing_units,Domicilio02_V030,housing,0,0
V033,Moradores em domicílios particulares permanentes com lixo queimado na propriedade,Residents in permanent private households with burned garbage on the property,housing_units,Domicilio02_V002,housing,29,962
V034,Moradores em domicílios particulares permanentes com lixo enterrado na propriedade,Residents in permanent private households with rubbish buried in the property,housing_units,Domicilio02_V002,housing,0,72
V035,Moradores em domicílios particulares permanentes com lixo jogado em terreno baldio ou logradouro,Residents in permanent private households with rubbish thrown in wasteland or public place,housing_units,Domicilio02_V002,housing,0,119
V036,"Moradores em domicílios particulares permanentes com lixo jogado em rio, lago ou mar","Residents in permanent private households with garbage thrown in river, lake or sea",housing_units,Domicilio02_V002,housing,0,0
V037,Moradores em domicílios particulares permanentes com outro destino do lixo,Residents in permanent private households with another garbage destination,housing_units,Domicilio02_V002,housing,0,0
V038,Moradores em domicílios particulares permanentes com energia elétrica,Residents in permanent households with electricity,housing_units,Domicilio02_V002,housing,914,822
V039,Moradores em domicílios particulares permanentes com energia elétrica de companhia distribuidora,Residents in permanent private households with electricity distribution company,housing_units,Domicilio02_V038,housing,914,822
V040,Moradores em domicílios particulares permanentes com energia elétrica de outras fontes,Residents in permanent private households with electricity from other sources,housing_units,Domicilio02_V038,housing,0,0
V041,Moradores em domicílios particulares permanentes sem energia elétrica,Residents in permanent households without electricity,housing_units,Domicilio02_V002,housing,0,331
V042,Moradores em domicílios particulares permanentes com energia elétrica de companhia distribuidora e com medidor de uso exclusivo,Residents in permanent private households with electricity distribution company and with meter of exclusive use,housing_units,Domicilio02_V038,housing,882,787
