NOME DA VARIÁVEL,DESCRIÇÃO DA VARIÁVEL,DESCRIPTION OF THE VARIABLE,unit,denominators,subsection,data_sample1,data_sample2
Cod_setor,Código do setor,Industry code,,,,120001000000000,120005000000000
Situação do setor,Código de situação do setor,Sector status code,,,,1,1
V001,Domicílios particulares permanentes,Permanent private households,housing_units,,housing,282,260
V002,Domicílios particulares permanentes próprios – Existe identificação do logradouro,Private permanent private homes - There is an identification of the public place,housing_units,Entorno01_V001,housing,131,163
V003,Domicílios particulares permanentes próprios – Não existe identificação do logradouro,Private permanent private homes - There is no street id,housing_units,Entorno01_V001,housing,77,14
V004,Domicílios particulares permanentes alugados – Existe identificação do logradouro,Permanent private households rented - There is an identification of the public place,housing_units,Entorno01_V001,housing,35,32
V005,Domicílios particulares permanentes alugados – Não existe identificação do logradouro,Permanent private households rented - There is no street id,housing_units,Entorno01_V001,housing,18,1
V006,Domicílios particulares permanentes cedidos – Existe identificação do logradouro,Permanent private households ceded - There is an identification of the public place,housing_units,Entorno01_V001,housing,16,41
V007,Domicílios particulares permanentes cedidos – Não existe identificação do logradouro,Permanent private households ceded - There is no street id,housing_units,Entorno01_V001,housing,5,5
V008,Domicílios particulares permanentes próprios – Existe iluminação pública,Private permanent private homes - Public lighting,housing_units,Entorno01_V001,housing,208,177
V009,Domicílios particulares permanentes próprios – Não existe iluminação pública,Private permanent private homes - No public lighting,housing_units,Entorno01_V001,housing,0,0
V010,Domicílios particulares permanentes alugados – Existe iluminação pública,Permanent private households rented - Public lighting,housing_units,Entorno01_V001,housing,53,33
V011,Domicílios particulares permanentes alugados – Não existe iluminação pública,Permanent private households rented - No public lighting,housing_units,Entorno01_V001,housing,0,0
V012,Domicílios particulares permanentes cedidos – Existe iluminação pública,Permanent private homes ceded - There is public lighting,housing_units,Entorno01_V001,housing,21,46
V013,Domicílios particulares permanentes cedidos – Não existe iluminação pública,Private permanent homes ceded - No public street lighting,housing_units,Entorno01_V001,housing,0,0
V014,Domicílios particulares permanentes próprios – Existe pavimentação,Private permanent private homes - There is paving,housing_units,Entorno01_V001,housing,200,75
V015,Domicílios particulares permanentes próprios – Não existe pavimentação,Private permanent private homes - There is no flooring,housing_units,Entorno01_V001,housing,8,102
V016,Domicílios particulares permanentes alugados – Existe pavimentação,Permanent private households rented - Paving exists,housing_units,Entorno01_V001,housing,49,11
V017,Domicílios particulares permanentes alugados – Não existe pavimentação,Permanent private households rented - There is no flooring,housing_units,Entorno01_V001,housing,4,22
V018,Domicílios particulares permanentes cedidos – Existe pavimentação,Private permanent homes ceded - There is paving,housing_units,Entorno01_V001,housing,21,16
V019,Domicílios particulares permanentes cedidos – Não existe pavimentação,Permanent private households assigned - There is no flooring,housing_units,Entorno01_V001,housing,0,30
V020,Domicílios particulares permanentes próprios – Existe calçada,Private permanent private homes - There is a sidewalk,housing_units,Entorno01_V001,housing,58,26
V021,Domicílios particulares permanentes próprios – Não existe calçada,Private permanent private homes - There is no sidewalk,housing_units,Entorno01_V001,housing,150,151
V022,Domicílios particulares permanentes alugados – Existe calçada,Permanent Private Residence Houses - There is a sidewalk,housing_units,Entorno01_V001,housing,20,2
V023,Domicílios particulares permanentes alugados – Não existe calçada,Permanent private households rented - There is no sidewalk,housing_units,Entorno01_V001,housing,33,31
V024,Domicílios particulares permanentes cedidos – Existe calçada,Permanent private homes ceded - There is a sidewalk,housing_units,Entorno01_V001,housing,7,4
V025,Domicílios particulares permanentes cedidos – Não existe calçada,Private permanent homes ceded - There is no sidewalk,housing_units,Entorno01_V001,housing,14,42
V026,Domicílios particulares permanentes próprios – Existe meio-fio/guia,Private permanent private homes - There is a curb / guide,housing_units,Entorno01_V001,housing,189,77
V027,Domicílios particulares permanentes próprios – Não existe meio-fio/guia,Private permanent private homes - No curb / guide,housing_units,Entorno01_V001,housing,19,100
