NOME DA VARIÁVEL,DESCRIÇÃO DA VARIÁVEL,DESCRIPTION OF THE VARIABLE,unit,denominators,subsection,data_sample1,data_sample2
Cod_setor,Código do setor,Industry code,,,,120001305000001,120001305000012
Situação do setor,Código de situação do setor,Sector status code,,,,1,1
V843,Moradores em domicílios particulares permanentes com menos de 1 ano de idade – Existe identificação do logradouro,Residents in permanent private homes with less than 1 year of age -,people,Entorno03_V422,housing|age_gender,6,11
V844,Moradores em domicílios particulares permanentes com menos de 1 ano de idade – Não existe identificação do logradouro,Residents in permanent private households with less than 1 year of age - No backyard identification,people,Entorno03_V422,housing|age_gender,2,8
V845,Moradores em domicílios particulares permanentes de 1 a 4 anos de idade – Existe identificação do logradouro,Residents in permanent private households from 1 to 4 years old - There is an identification of the place,people,Entorno03_V422,housing|age_gender,45,53
V846,Moradores em domicílios particulares permanentes de 1 a 4 anos de idade – Não existe identificação do logradouro,Residents in permanent private households from 1 to 4 years old - No street identification,people,Entorno03_V422,housing|age_gender,18,33
V847,Moradores em domicílios particulares permanentes de 5 a 9 anos de idade – Existe identificação do logradouro,Residents in permanent private households from 5 to 9 years of age -,people,Entorno03_V422,housing|age_gender,55,68
V848,Moradores em domicílios particulares permanentes de 5 a 9 anos de idade – Não existe identificação do logradouro,Residents in permanent private homes from 5 to 9 years of age - No street identification,people,Entorno03_V422,housing|age_gender,37,37
V849,Moradores em domicílios particulares permanentes de 10 a 14 anos de idade – Existe identificação do logradouro,Residents in permanent private households from 10 to 14 years old - There is an identification of the place,people,Entorno03_V422,housing|age_gender,61,70
V850,Moradores em domicílios particulares permanentes de 10 a 14 anos de idade – Não existe identificação do logradouro,Residents in permanent private households from 10 to 14 years of age - No street identification,people,Entorno03_V422,housing|age_gender,40,43
V851,Moradores em domicílios particulares permanentes de 15 a 59 anos de idade – Existe identificação do logradouro,Residents in permanent private households from 15 to 59 years old - There is an identification of the place,people,Entorno03_V422,housing|age_gender,387,307
V852,Moradores em domicílios particulares permanentes de 15 a 59 anos de idade – Não existe identificação do logradouro,Residents in permanent private homes from 15 to 59 years of age - No street identification,people,Entorno03_V422,housing|age_gender,225,209
V853,Moradores em domicílios particulares permanentes de 60 anos ou mais de idade – Existe identificação do logradouro,Residents in permanent private households 60 years of age or older - There is an identification of the place,people,Entorno03_V422,housing|age_gender,55,29
V854,Moradores em domicílios particulares permanentes de 60 anos ou mais de idade – Não existe identificação do logradouro,Residents in permanent private households 60 years of age or older - No street identification,people,Entorno03_V422,housing|age_gender,26,30
V855,Moradores em domicílios particulares permanentes com menos de 1 ano de idade – Existe iluminação pública,Residents in permanent private households under 1 year of age - Public lighting,people,Entorno03_V422,housing|age_gender,8,18
V856,Moradores em domicílios particulares permanentes com menos de 1 ano de idade – Não existe iluminação pública,Residents in permanent private households under 1 year of age - No public lighting,people,Entorno03_V422,housing|age_gender,0,1
V857,Moradores em domicílios particulares permanentes de 1 a 4 anos de idade – Existe iluminação pública,Residents in permanent private households from 1 to 4 years old - Public lighting,people,Entorno03_V422,housing|age_gender,63,82
V858,Moradores em domicílios particulares permanentes de 1 a 4 anos de idade – Não existe iluminação pública,Residents in permanent private households from 1 to 4 years old - No public lighting,people,Entorno03_V422,housing|age_gender,0,4
V859,Moradores em domicílios particulares permanentes de 5 a 9 anos de idade – Existe iluminação pública,Residents in permanent private households from 5 to 9 years of age - Public lighting,people,Entorno03_V422,housing|age_gender,92,103
V860,Moradores em domicílios particulares permanentes de 5 a 9 anos de idade – Não existe iluminação pública,Residents in permanent private households from 5 to 9 years of age - No public lighting,people,Entorno03_V422,housing|age_gender,0,2
V861,Moradores em domicílios particulares permanentes de 10 a 14 anos de idade – Existe iluminação pública,Residents in permanent private households from 10 to 14 years of age - Public lighting,people,Entorno03_V422,housing|age_gender,101,108
V862,Moradores em domicílios particulares permanentes de 10 a 14 anos de idade – Não existe iluminação pública,Residents in permanent private households from 10 to 14 years of age - No public lighting,people,Entorno03_V422,housing|age_gender,0,5
V863,Moradores em domicílios particulares permanentes de 15 a 59 anos de idade – Existe iluminação pública,Residents in permanent private households from 15 to 59 years of age - Public lighting,people,Entorno03_V422,housing|age_gender,612,487
V864,Moradores em domicílios particulares permanentes de 15 a 59 anos de idade – Não existe iluminação pública,Residents in permanent private households from 15 to 59 years of age - No public lighting,people,Entorno03_V422,housing|age_gender,0,29
V865,Moradores em domicílios particulares permanentes de 60 anos ou mais de idade – Existe iluminação pública,Residents in permanent private households 60 years of age or older - Public lighting,people,Entorno03_V422,housing|age_gender,81,52
V866,Moradores em domicílios particulares permanentes de 60 anos ou mais de idade – Não existe iluminação pública,Residents in permanent private households 60 years of age or older - No public lighting,people,Entorno03_V422,housing|age_gender,0,7
V867,Moradores em domicílios particulares permanentes com menos de 1 ano de idade – Existe pavimentação,Residents in permanent private households less than 1 year old - Paving exists,people,Entorno03_V422,housing|age_gender,8,5
V868,Moradores em domicílios particulares permanentes com menos de 1 ano de idade – Não existe pavimentação,Residents in permanent private households less than 1 year old - There is no flooring,people,Entorno03_V422,housing|age_gender,0,14
V869,Moradores em domicílios particulares permanentes de 1 a 4 anos de idade – Existe pavimentação,Residents in permanent private households from 1 to 4 years old - Paving exists,people,Entorno03_V422,housing|age_gender,60,23
V870,Moradores em domicílios particulares permanentes de 1 a 4 anos de idade – Não existe pavimentação,Residents in permanent private households from 1 to 4 years old - There is no flooring,people,Entorno03_V422,housing|age_gender,3,63
V871,Moradores em domicílios particulares permanentes de 5 a 9 anos de idade – Existe pavimentação,Residents in permanent private households from 5 to 9 years of age - Paving is available,people,Entorno03_V422,housing|age_gender,83,38
V872,Moradores em domicílios particulares permanentes de 5 a 9 anos de idade – Não existe pavimentação,Residents in permanent private households from 5 to 9 years of age - There is no flooring,people,Entorno03_V422,housing|age_gender,9,67
V873,Moradores em domicílios particulares permanentes de 10 a 14 anos de idade – Existe pavimentação,Residents in permanent private households from 10 to 14 years of age - Paving exists,people,Entorno03_V422,housing|age_gender,97,39
V874,Moradores em domicílios particulares permanentes de 10 a 14 anos de idade – Não existe pavimentação,Residents in permanent private households from 10 to 14 years of age - There is no flooring,people,Entorno03_V422,housing|age_gender,4,74
V875,Moradores em domicílios particulares permanentes de 15 a 59 anos de idade – Existe pavimentação,Residents in permanent private homes from 15 to 59 years of age - Paving exists,people,Entorno03_V422,housing|age_gender,583,195
