Nome da variável,Descrição da variável,Variable description,unit,denominators,subsection,data_sample1,data_sample2
Cod_setor,Código do setor censitário,Census sector code,,,,120001305000001,120001305000012
Situacao,Código de situação do setor censitário (ver planilha Basico_UF.xls),Code of situation of the census sector (see worksheet Basico_UF.xls),,,,1,1
V001,Homens alfabetizados com 5 ou mais anos de idade,Men who are literate at least 5 years of age,people,Pessoa01_V001,education|age_gender|race_ethnicity,7,8
V002,Homens alfabetizados com 5 anos de idade,Five-year-old literate men,people,Pessoa01_V001,education|age_gender|race_ethnicity,0,0
V003,Homens alfabetizados com 6 anos de idade,6-year-old literate men,people,Pessoa01_V001,education|age_gender|race_ethnicity,0,0
V004,Homens alfabetizados com 7 anos de idade,7-year-old literate men,people,Pessoa01_V001,education|age_gender|race_ethnicity,12,12
V005,Homens alfabetizados com 8 anos de idade,8-year-old literate men,people,Pessoa01_V001,education|age_gender|race_ethnicity,0,0
V006,Homens alfabetizados com 9 anos de idade,9-year-old literate men,people,Pessoa01_V001,education|age_gender|race_ethnicity,9,21
V007,Homens alfabetizados com 10 anos de idade,10-year-old literate men,people,Pessoa01_V001,education|age_gender|race_ethnicity,0,1
V008,Homens alfabetizados com 11 anos de idade,11-year-old literate men,people,Pessoa01_V001,education|age_gender|race_ethnicity,1,1
V009,Homens alfabetizados com 12 anos de idade,12-year-old literate men,people,Pessoa01_V001,education|age_gender|race_ethnicity,29,39
V010,Homens alfabetizados com 13 anos de idade,13-year-old literate men,people,Pessoa01_V001,education|age_gender|race_ethnicity,0,0
V011,Homens alfabetizados com 14 anos de idade,14-year-old literate men,people,Pessoa01_V001,education|age_gender|race_ethnicity,10,12
V012,Homens alfabetizados com 15 anos de idade,Literate 15-year-olds,people,Pessoa01_V001,education|age_gender|race_ethnicity,1,1
V013,Homens alfabetizados com 16 anos de idade,16-year-old literate men,people,Pessoa01_V001,education|age_gender|race_ethnicity,1,0
V014,Homens alfabetizados com 17 anos de idade,17-year-old literate men,people,Pessoa01_V001,education|age_gender|race_ethnicity,29,25
V015,Homens alfabetizados com 18 anos de idade,18-year-old literate men,people,Pessoa01_V001,education|age_gender|race_ethnicity,0,0
V016,Homens alfabetizados com 19 anos de idade,19-year-old literate men,people,Pessoa04_V011,education|age_gender|race_ethnicity,8,6
V017,Homens alfabetizados com 20 anos de idade,20-year-old literate men,people,Pessoa04_V012,education|age_gender|race_ethnicity,1,1
V018,Homens alfabetizados com 21 anos de idade,21-year-old literate men,people,Pessoa04_V013,education|age_gender|race_ethnicity,1,0
V019,Homens alfabetizados com 22 anos de idade,22-year-old literate men,people,Pessoa04_V014,education|age_gender|race_ethnicity,16,18
V020,Homens alfabetizados com 23 anos de idade,23-year-old literate men,people,Pessoa04_V015,education|age_gender|race_ethnicity,0,0
V021,Homens alfabetizados com 24 anos de idade,Men with 24-year-old literacy,people,Pessoa04_V011,education|age_gender|race_ethnicity,2,6
V022,Homens alfabetizados com 25 anos de idade,25-year-old literate men,people,Pessoa04_V012,education|age_gender|race_ethnicity,0,0
V023,Homens alfabetizados com 26 anos de idade,26-year-old literate men,people,Pessoa04_V013,education|age_gender|race_ethnicity,0,0
V024,Homens alfabetizados com 27 anos de idade,27-year-old literate male,people,Pessoa04_V014,education|age_gender|race_ethnicity,13,7
V025,Homens alfabetizados com 28 anos de idade,28-year-old literate men,people,Pessoa04_V015,education|age_gender|race_ethnicity,0,0
V026,Homens alfabetizados com 29 anos de idade,29-year-old literate men,people,Pessoa01_V001,education|age_gender|race_ethnicity,13,23
V027,Homens alfabetizados com 30 anos de idade,30-year-old literate men,people,Pessoa01_V001,education|age_gender|race_ethnicity,2,4
V028,Homens alfabetizados com 31 anos de idade,31-year-old literate men,people,Pessoa01_V001,education|age_gender|race_ethnicity,1,0
V029,Homens alfabetizados com 32 anos de idade,32-year-old literate men,people,Pessoa01_V001,education|age_gender|race_ethnicity,28,19
V030,Homens alfabetizados com 33 anos de idade,33-year-old literate men,people,Pessoa01_V001,education|age_gender|race_ethnicity,0,0
V031,Homens alfabetizados com 34 anos de idade,34-year-old literate men,people,Pessoa01_V001,education|age_gender|race_ethnicity,11,15
V032,Homens alfabetizados com 35 anos de idade,35-year-old literate men,people,Pessoa01_V001,education|age_gender|race_ethnicity,0,2
V033,Homens alfabetizados com 36 anos de idade,36-year-old literate men,people,Pessoa01_V001,education|age_gender|race_ethnicity,0,1
V034,Homens alfabetizados com 37 anos de idade,37-year-old literate men,people,Pessoa01_V001,education|age_gender|race_ethnicity,29,17
