Nome da variável,Descrição da variável,Variable description,unit,denominators,subsection,data_sample1,data_sample2
Cod_setor,Código do setor censitário,Census sector code,,,,120001305000001,120001305000012
Situacao,Código de situação do setor censitário (ver planilha Basico_UF.xls),Code of situation of the census sector (see worksheet Basico_UF.xls),,,,1,1
V001,Pessoas residentes em domicílios particulares e domicílios coletivos,People living in private households and collective households,people,,housing|families,957,914
V002,Pessoas residentes em domicílios particulares permanentes,Persons residing in permanent private households,people,Pessoa13_V001,housing|families,957,914
V003,Responsáveis pelos domicílios particulares,Responsible for private households,people,Pessoa13_V001,housing|families,282,257
V004,Cônjuges ou companheiros(as) (de sexo diferente e do mesmo sexo da pessoa responsável) em domicílios particulares ,Spouses or partners (of different sex and of the same sex as the responsible person) in private households,people,Pessoa13_V001,housing|families,197,186
V005,Filhos(as) do responsável e do cônjuge em domicílios particulares,Children of the guardian and the spouse in private households,people,Pessoa13_V001,housing|families,210,214
V006,Filhos(as) somente do responsável em domicílios particulares,Children (as) only of the responsible in particular domiciles,people,Pessoa13_V001,housing|families,123,134
V007,Enteados(as) em domicílios particulares,Stepchildren in private households,people,Pessoa13_V001,housing|families,25,39
V008,Genros ou noras em domicílios particulares,Grooms or daughters-in-law in private homes,people,Pessoa13_V001,housing|families,10,4
V009,"Pais, mães, padrastos ou madrastas em domicílios particulares","Parents, mothers, stepfathers or stepmothers in private homes",people,Pessoa13_V001,housing|families,3,1
V010,Sogros (as) em domicílios particulares,Individuals in private homes,people,Pessoa13_V001,housing|families,3,2
V011,Netos(as) em domicílios particulares,Grandchildren in private households,people,Pessoa13_V001,housing|families,62,46
V012,Bisnetos(as) em domicílios particulares,Great-grandchildren in private households,people,Pessoa13_V001,housing|families,1,2
V013,Irmãos ou irmãs em domicílios particulares,Brothers or sisters in private homes,people,Pessoa13_V001,housing|families,11,9
V014,Avôs ou avós em domicílios particulares,Grandparents or grandparents in private homes,people,Pessoa13_V001,housing|families,0,0
V015,Outros parentes em domicílios particulares,Other relatives in private households,people,Pessoa13_V001,housing|families,24,18
V016,Agregados(as) em domicílios particulares,Aggregates in private households,people,Pessoa13_V001,housing|families,1,1
V017,Conviventes em domicílios particulares,Cohabitants in private homes,people,Pessoa13_V001,housing|families,1,1
V018,Pensionistas em domicílios particulares,Pensioners in private homes,people,Pessoa13_V001,housing|families,4,0
V019,Empregados(as) domésticos(as) em domicílios particulares,Household employees in private households,people,Pessoa13_V001,housing|families,0,0
V020,Parentes de empregados(as) domésticos(as) em domicílios particulares,Relatives of domestic servants in private households,people,Pessoa13_V001,housing|families,0,0
V021,Individuais em domicílio coletivo,Individuals in collective residence,people,Pessoa13_V001,housing|families,0,0
V022,Pessoas com menos de 1 ano de idade,Persons under 1 year of age,people,Pessoa13_V001,age_gender,8,20
V023,Pessoas com menos de 1 mês de idade,People under 1 month old,people,Pessoa13_V022,age_gender,0,1
V024,Pessoas com 1 mês de idade,People 1 month old,people,Pessoa13_V022,age_gender,0,1
V025,Pessoas com 2 meses de idade,People 2 months old,people,Pessoa13_V022,age_gender,0,0
V026,Pessoas com 3 meses de idade,People 3 months old,people,Pessoa13_V022,age_gender,1,3
V027,Pessoas com 4 meses de idade,People 4 months old,people,Pessoa13_V022,age_gender,0,2
V028,Pessoas com 5 meses de idade,People 5 months old,people,Pessoa13_V022,age_gender,0,2
