Nome da variável,Descrição da variável,Variable description,unit,target,subsection,data_sample1,data_sample2
Cod_setor,Código do setor censitário,Census sector code,,,,1.20E+14,1.20E+14
Situacao,Código de situação do setor censitário (ver planilha Basico_UF.xls),Code of situation of the census sector (see worksheet Basico_UF.xls),,,,1,1
V001,"Pessoas responsáveis, do sexo feminino","Responsible persons, female",people,responsavel02_V001,age_gender,237,183
V002,"Pessoas responsáveis com 10 anos de idade, do sexo feminino","Responsible persons with 10 years of age, female",people,V001,age_gender,0,0
V003,"Pessoas responsáveis com 11 anos de idade, do sexo feminino","Responsible persons with 11 years of age, female",people,V001,age_gender,1,0
V004,"Pessoas responsáveis com 12 anos de idade, do sexo feminino","Responsible persons with 12 years of age, female",people,V001,age_gender,0,0
V005,"Pessoas responsáveis com 13 anos de idade, do sexo feminino","Responsible persons with 13 years of age, female",people,V001,age_gender,0,0
V006,"Pessoas responsáveis com 14 anos de idade, do sexo feminino","Responsible persons with 14 years of age, female",people,V001,age_gender,0,0
V007,"Pessoas responsáveis com 15 anos de idade, do sexo feminino","Responsible persons with 15 years of age, female",people,V001,age_gender,3,0
V008,"Pessoas responsáveis com 16 anos de idade, do sexo feminino","Responsible persons with 16 years of age, female",people,V001,age_gender,1,0
V009,"Pessoas responsáveis com 17 anos de idade, do sexo feminino","Responsible persons with 17 years of age, female",people,V001,age_gender,6,4
V010,"Pessoas responsáveis com 18 anos de idade, do sexo feminino","Responsible persons with 18 years of age, female",people,V001,age_gender,2,1
V011,"Pessoas responsáveis com 19 anos de idade, do sexo feminino","Responsible persons with 19 years of age, female",people,V001,age_gender,1,3
V012,"Pessoas responsáveis com 20 anos de idade, do sexo feminino","Responsible persons with 20 years of age, female",people,V001,age_gender,3,1
V013,"Pessoas responsáveis com 21 anos de idade, do sexo feminino","Responsible persons with 21 years of age, female",people,V001,age_gender,4,7
V014,"Pessoas responsáveis com 22 anos de idade, do sexo feminino","Responsible persons with 22 years of age, female",people,V001,age_gender,4,4
V015,"Pessoas responsáveis com 23 anos de idade, do sexo feminino",Responsible persons with a 23-year-old female,people,V001,age_gender,7,3
V016,"Pessoas responsáveis com 24 anos de idade, do sexo feminino",Responsible persons with 24-year-old female,people,V001,age_gender,10,10
V017,"Pessoas responsáveis com 25 anos de idade, do sexo feminino","Responsible persons with 25 years of age, female",people,V001,age_gender,7,5
V018,"Pessoas responsáveis com 26 anos de idade, do sexo feminino","Responsible persons with 26 years of age, female",people,V001,age_gender,14,4
V019,"Pessoas responsáveis com 27 anos de idade, do sexo feminino",Responsible persons with a 27-year-old female,people,V001,age_gender,9,7
V020,"Pessoas responsáveis com 28 anos de idade, do sexo feminino","Responsible persons with 28 years of age, female",people,V001,age_gender,9,4
V021,"Pessoas responsáveis com 29 anos de idade, do sexo feminino",Responsible persons with 29-year-old female,people,V001,age_gender,5,4
V022,"Pessoas responsáveis com 30 anos de idade, do sexo feminino","Responsible persons with 30 years of age, female",people,V001,age_gender,8,6
V023,"Pessoas responsáveis com 31 anos de idade, do sexo feminino","Responsible persons with 31 years of age, female",people,V001,age_gender,6,6
V024,"Pessoas responsáveis com 32 anos de idade, do sexo feminino","Responsible persons with 32 years of age, female",people,V001,age_gender,9,4
V025,"Pessoas responsáveis com 33 anos de idade, do sexo feminino","Responsible persons with 33 years of age, female",people,V001,age_gender,6,7
V026,"Pessoas responsáveis com 34 anos de idade, do sexo feminino","Responsible persons with 34 years of age, female",people,V001,age_gender,3,6
V027,"Pessoas responsáveis com 35 anos de idade, do sexo feminino","Responsible persons with 35 years of age, female",people,V001,age_gender,8,3
V028,"Pessoas responsáveis com 36 anos de idade, do sexo feminino","Responsible persons with 36 years of age, female",people,V001,age_gender,5,3
V029,"Pessoas responsáveis com 37 anos de idade, do sexo feminino","Responsible persons with 37 years of age, female",people,V001,age_gender,6,5
V030,"Pessoas responsáveis com 38 anos de idade, do sexo feminino","Responsible persons with 38 years of age, female",people,V001,age_gender,4,5
V031,"Pessoas responsáveis com 39 anos de idade, do sexo feminino","Responsible persons with 39 years of age, female",people,V001,age_gender,3,5
V032,"Pessoas responsáveis com 40 anos de idade, do sexo feminino","Responsible persons with 40 years of age, female",people,V001,age_gender,6,7
V033,"Pessoas responsáveis com 41 anos de idade, do sexo feminino","Responsible persons with 41 years of age, female",people,V001,age_gender,3,6
V034,"Pessoas responsáveis com 42 anos de idade, do sexo feminino","Responsible persons with 42 years of age, female",people,V001,age_gender,6,2
V035,"Pessoas responsáveis com 43 anos de idade, do sexo feminino","Responsible persons with 43 years of age, female",people,V001,age_gender,5,6
V036,"Pessoas responsáveis com 44 anos de idade, do sexo feminino","Responsible persons with 44 years of age, female",people,V001,age_gender,6,4
V037,"Pessoas responsáveis com 45 anos de idade, do sexo feminino","Responsible persons with 45 years of age, female",people,V001,age_gender,7,2
V038,"Pessoas responsáveis com 46 anos de idade, do sexo feminino","Responsible persons with 46 years of age, female",people,V001,age_gender,8,1
V039,"Pessoas responsáveis com 47 anos de idade, do sexo feminino","Responsible persons with 47 years of age, female",people,V001,age_gender,1,2
V040,"Pessoas responsáveis com 48 anos de idade, do sexo feminino","Responsible persons with 48 years of age, female",people,V001,age_gender,3,2
V041,"Pessoas responsáveis com 49 anos de idade, do sexo feminino","Responsible persons with 49 years of age, female",people,V001,age_gender,6,1
V042,"Pessoas responsáveis com 50 anos de idade, do sexo feminino","Responsible persons with 50 years of age, female",people,V001,age_gender,1,2
V043,"Pessoas responsáveis com 51 anos de idade, do sexo feminino","Responsible persons with 51 years of age, female",people,V001,age_gender,2,1
V044,"Pessoas responsáveis com 52 anos de idade, do sexo feminino","Responsible persons with 52 years of age, female",people,V001,age_gender,2,2
V045,"Pessoas responsáveis com 53 anos de idade, do sexo feminino","Responsible persons with 53 years of age, female",people,V001,age_gender,0,0
V046,"Pessoas responsáveis com 54 anos de idade, do sexo feminino","Responsible persons with 54 years of age, female",people,V001,age_gender,2,2
V047,"Pessoas responsáveis com 55 anos de idade, do sexo feminino","Responsible persons with 55 years of age, female",people,V001,age_gender,5,2
V048,"Pessoas responsáveis com 56 anos de idade, do sexo feminino","Responsible persons with 56 years of age, female",people,V001,age_gender,0,1
V049,"Pessoas responsáveis com 57 anos de idade, do sexo feminino","Responsible persons with 57 years of age, female",people,V001,age_gender,4,3
