Nome da variável,Descrição da variável,Variable description,unit,denominators,subsection,data_sample1,data_sample2
Cod_setor,Código do setor censitário,Census sector code,,,,1.20E+14,1.20E+14
Situacao,Código de situação do setor censitário (ver planilha Basico_UF.xls),Code of situation of the census sector (see worksheet Basico_UF.xls),,,,8,1
V001,Pessoas Responsáveis,Responsible People,people,,age_gender,225,393
V002,Pessoas Responsáveis com 10 anos de idade,Responsible Persons with 10 years of age,people,Responsavel02_V001,age_gender,0,0
V003,Pessoas Responsáveis com 11 anos de idade,Responsible Persons with 11 years of age,people,Responsavel02_V001,age_gender,0,0
V004,Pessoas Responsáveis com 12 anos de idade,Responsible Persons with 12 years of age,people,Responsavel02_V001,age_gender,0,0
V005,Pessoas Responsáveis com 13 anos de idade,Responsible Persons with 13 years of age,people,Responsavel02_V001,age_gender,0,0
V006,Pessoas Responsáveis com 14 anos de idade,Responsible Persons with 14 years of age,people,Responsavel02_V001,age_gender,0,0
V007,Pessoas Responsáveis com 15 anos de idade,Responsible Persons with 15 years of age,people,Responsavel02_V001,age_gender,0,0
V008,Pessoas Responsáveis com 16 anos de idade,Responsible Persons with 16 years of age,people,Responsavel02_V001,age_gender,1,0
V009,Pessoas Responsáveis com 17 anos de idade,Responsible Persons with 17 years of age,people,Responsavel02_V001,age_gender,0,2
V010,Pessoas Responsáveis com 18 anos de idade,Responsible Persons with 18 years of age,people,Responsavel02_V001,age_gender,0,1
V011,Pessoas Responsáveis com 19 anos de idade,Responsible Persons with 19 years of age,people,Responsavel02_V001,age_gender,3,2
V012,Pessoas Responsáveis com 20 anos de idade,Responsible Persons with 20 years of age,people,Responsavel02_V001,age_gender,2,4
V013,Pessoas Responsáveis com 21 anos de idade,Responsible Persons with 21 years of age,people,Responsavel02_V001,age_gender,3,6
V014,Pessoas Responsáveis com 22 anos de idade,Responsible Persons with 22 years of age,people,Responsavel02_V001,age_gender,2,12
V015,Pessoas Responsáveis com 23 anos de idade,Responsible Persons with 23 years of age,people,Responsavel02_V001,age_gender,4,6
