VAR_CODE	VAR_LIB	VAR_LIB_LONG	UNITS	DENOMINATORS	DESCRIPTION	INSEE_DEFINITION_URL
P12_POP0205	Pop 2-5 ans en 2012 (princ)	Nombre de personnes de 2 à 5 ans	people	P12_NSCOL15P, P12_NSCOL15P_SUP		
P12_POP0610	Pop 6-10 ans en 2012 (princ)	Nombre de personnes de 6 à 10 ans	people	P12_NSCOL15P, P12_NSCOL15P_SUP		
P12_POP1114	Pop 11-14 ans en 2012 (princ)	Nombre de personnes de 11 à 14 ans	people	P12_NSCOL15P, P12_NSCOL15P_SUP		
P12_POP1517	Pop 15-17 ans en 2012 (princ)	Nombre de personnes de 15 à 17 ans	people	P12_NSCOL15P, P12_NSCOL15P_SUP		
P12_POP1824	Pop 18-24 ans en 2012 (princ)	Nombre de personnes de 18 à 24 ans	people	P12_NSCOL15P, P12_NSCOL15P_SUP		
P12_POP2529	Pop 25-29 ans en 2012 (princ)	Nombre de personnes de 25 à 29 ans	people	P12_NSCOL15P, P12_NSCOL15P_SUP		
P12_POP30P	Pop 30 ans ou plus en 2012 (princ)	Nombre de personnes de 30 ans ou plus	people	P12_NSCOL15P, P12_NSCOL15P_SUP		
P12_SCOL0205	Pop scolarisée 2-5 ans en 2012 (princ)	Nombre de personnes scolarisées de 2 à 5 ans	people	P12_NSCOL15P, P12_NSCOL15P_SUP		http://www.insee.fr/fr/bases-de-donnees/default.asp?page=recensement/resultats/doc/definitions-rp.htm#top
P12_SCOL0610	Pop scolarisée 6-10 ans en 2012 (princ)	Nombre de personnes scolarisées de 6 à 10 ans	people	P12_NSCOL15P, P12_NSCOL15P_SUP		http://www.insee.fr/fr/bases-de-donnees/default.asp?page=recensement/resultats/doc/definitions-rp.htm#top
P12_SCOL1114	Pop scolarisée 11-14 ans en 2012 (princ)	Nombre de personnes scolarisées de 11 à 14 ans	people	P12_NSCOL15P, P12_NSCOL15P_SUP		http://www.insee.fr/fr/bases-de-donnees/default.asp?page=recensement/resultats/doc/definitions-rp.htm#top
P12_SCOL1517	Pop scolarisée 15-17 ans en 2012 (princ)	Nombre de personnes scolarisées de 15 à 17 ans	people	P12_NSCOL15P, P12_NSCOL15P_SUP		http://www.insee.fr/fr/bases-de-donnees/default.asp?page=recensement/resultats/doc/definitions-rp.htm#top
P12_SCOL1824	Pop scolarisée 18-24 ans en 2012 (princ)	Nombre de personnes scolarisées de 18 à 24 ans	people	P12_NSCOL15P, P12_NSCOL15P_SUP		http://www.insee.fr/fr/bases-de-donnees/default.asp?page=recensement/resultats/doc/definitions-rp.htm#top
P12_SCOL2529	Pop scolarisée 25-29 ans en 2012 (princ)	Nombre de personnes scolarisées de 25 à 29 ans	people	P12_NSCOL15P, P12_NSCOL15P_SUP		http://www.insee.fr/fr/bases-de-donnees/default.asp?page=recensement/resultats/doc/definitions-rp.htm#top
P12_SCOL30P	Pop scolarisée 30 ans ou plus en 2012 (princ)	Nombre de personnes scolarisées de 30 ans ou plus	people	P12_NSCOL15P, P12_NSCOL15P_SUP		http://www.insee.fr/fr/bases-de-donnees/default.asp?page=recensement/resultats/doc/definitions-rp.htm#top
P12_H0205	Hommes 2-5 ans  en 2012 (princ)	Nombre d'hommes de 2 à 5 ans	people	P12_POP0205		
P12_H0610	Hommes 6-10 ans  en 2012 (princ)	Nombre d'hommes de 6 à 10 ans	people	P12_POP0610		
P12_H1114	Hommes 11-14 ans  en 2012 (princ)	Nombre d'hommes de 11 à 14 ans	people	P12_POP1114		
P12_H1517	Hommes 15-17 ans en 2012 (princ)	Nombre d'hommes de 15 à 17 ans	people	P12_POP1517		
P12_H1824	Hommes 18-24 ans en 2012 (princ)	Nombre d'hommes de 18 à 24 ans	people	P12_POP1824		
P12_H2529	Hommes 25-29 ans en 2012 (princ)	Nombre d'hommes de 25 à 29 ans	people	P12_POP2529		
P12_H30P	Hommes 30 ans ou plus en 2012 (princ)	Nombre d'hommes de 30 ans ou plus	people	P12_POP30P		
P12_HSCOL0205	Hommes scolarisés 2-5 ans en 2012 (princ)	Nombre d'hommes scolarisés de 2 à 5 ans	people	P12_SCOL0205	P12_H0205	http://www.insee.fr/fr/bases-de-donnees/default.asp?page=recensement/resultats/doc/definitions-rp.htm#top
P12_HSCOL0610	Hommes scolarisés 6-10 ans en 2012 (princ)	Nombre d'hommes scolarisés de 6 à 10 ans	people	P12_SCOL0610	P12_H0610	http://www.insee.fr/fr/bases-de-donnees/default.asp?page=recensement/resultats/doc/definitions-rp.htm#top
P12_HSCOL1114	Hommes scolarisés 11-14 ans en 2012 (princ)	Nombre d'hommes scolarisés de 11 à 14 ans	people	P12_SCOL1114	P12_H1114	http://www.insee.fr/fr/bases-de-donnees/default.asp?page=recensement/resultats/doc/definitions-rp.htm#top
P12_HSCOL1517	Hommes scolarisés 15-17 ans en 2012 (princ)	Nombre d'hommes scolarisés de 15 à 17 ans	people	P12_SCOL1517	P12_H1517	http://www.insee.fr/fr/bases-de-donnees/default.asp?page=recensement/resultats/doc/definitions-rp.htm#top
P12_HSCOL1824	Hommes scolarisés 18-24 ans en 2012 (princ)	Nombre d'hommes scolarisés de 18 à 24 ans	people	P12_SCOL1824	P12_H1824	http://www.insee.fr/fr/bases-de-donnees/default.asp?page=recensement/resultats/doc/definitions-rp.htm#top
P12_HSCOL2529	Hommes scolarisés 25-29 ans en 2012 (princ)	Nombre d'hommes scolarisés de 25 à 29 ans	people	P12_SCOL2529	P12_H2529	http://www.insee.fr/fr/bases-de-donnees/default.asp?page=recensement/resultats/doc/definitions-rp.htm#top
P12_HSCOL30P	Hommes scolarisés 30 ans ou plus en 2012 (princ)	Nombre d'hommes scolarisés de 30 ans ou plus	people	P12_SCOL30P	P12_H30P	http://www.insee.fr/fr/bases-de-donnees/default.asp?page=recensement/resultats/doc/definitions-rp.htm#top
P12_F0205	Femmes 2-5 ans en 2012 (princ)	Nombre de femmes de 2 à 5 ans	people	P12_POP0205		
P12_F0610	Femmes 6-10 ans en 2012 (princ)	Nombre de femmes de 6 à 10 ans	people	P12_POP0610		
P12_F1114	Femmes 11-14 ans en 2012 (princ)	Nombre de femmes de 11 à 14 ans	people	P12_POP1114		
P12_F1517	Femmes 15-17 ans en 2012 (princ)	Nombre de femmes de 15 à 17 ans	people	P12_POP1517		
P12_F1824	Femmes 18-24 ans en 2012 (princ)	Nombre de femmes de 18 à 24 ans	people	P12_POP1824		
P12_F2529	Femmes 25-29 ans en 2012 (princ)	Nombre de femmes de 25 à 29 ans	people	P12_POP2529		
P12_F30P	Femmes 30 ans ou plus en 2012 (princ)	Nombre de femmes de 30 ans ou plus	people	P12_POP30P		
P12_FSCOL0205	Femmes scolarisées 2-5 ans en 2012 (princ)	Nombre de femmes scolarisées de 2 à 5 ans	people	P12_SCOL0205	P12_F0205	http://www.insee.fr/fr/bases-de-donnees/default.asp?page=recensement/resultats/doc/definitions-rp.htm#top
P12_FSCOL0610	Femmes scolarisées 6-10 ans en 2012 (princ)	Nombre de femmes scolarisées de 6 à 10 ans	people	P12_SCOL0610	P12_F0610	http://www.insee.fr/fr/bases-de-donnees/default.asp?page=recensement/resultats/doc/definitions-rp.htm#top
P12_FSCOL1114	Femmes scolarisées 11-14 ans en 2012 (princ)	Nombre de femmes scolarisées de 11 à 14 ans	people	P12_SCOL1114	P12_F1114	http://www.insee.fr/fr/bases-de-donnees/default.asp?page=recensement/resultats/doc/definitions-rp.htm#top
P12_FSCOL1517	Femmes scolarisées 15-17 ans en 2012 (princ)	Nombre de femmes scolarisées de 15 à 17 ans	people	P12_SCOL1517	P12_F1517	http://www.insee.fr/fr/bases-de-donnees/default.asp?page=recensement/resultats/doc/definitions-rp.htm#top
P12_FSCOL1824	Femmes scolarisées 18-24 ans en 2012 (princ)	Nombre de femmes scolarisées de 18 à 24 ans	people	P12_SCOL1824	P12_F1824	http://www.insee.fr/fr/bases-de-donnees/default.asp?page=recensement/resultats/doc/definitions-rp.htm#top
P12_FSCOL2529	Femmes scolarisées 25-29 ans en 2012 (princ)	Nombre de femmes scolarisées de 25 à 29 ans	people	P12_SCOL2529	P12_F2529	http://www.insee.fr/fr/bases-de-donnees/default.asp?page=recensement/resultats/doc/definitions-rp.htm#top
P12_FSCOL30P	Femmes scolarisées 30 ans ou plus  en 2012 (princ)	Nombre de femmes scolarisées de 30 ans ou plus	people	P12_SCOL30P	P12_F30P	http://www.insee.fr/fr/bases-de-donnees/default.asp?page=recensement/resultats/doc/definitions-rp.htm#top
P12_NSCOL15P	Pop 15 ans ou plus non scolarisée en 2012 (princ)	Nombre de personnes non scolarisées de 15 ans ou plus	people			
