VAR_CODE	VAR_LIB	VAR_LIB_LONG	UNITS	DENOMINATORS
P12_ACTOCC15P	Actifs occupés 15 ans ou plus en 2012 (princ)	Nombre de personnes actives occupées de 15 ans ou plus	people	
P12_SAL15P	Salariés 15 ans ou plus en 2012 (princ)	Nombre de personnes salariées de 15 ans ou plus	people	P12_ACTOCC15P
P12_NSAL15P	Non-salariés 15 ans ou plus en 2012 (princ)	Nombre de personnes non-salariées de 15 ans ou plus	people	P12_ACTOCC15P
P12_ACTOCC15P_TP	Actifs occ 15 ans ou plus TP en 2012 (princ)	Nombre de personnes actives occupées de 15 ans ou plus à temps partiel	people	P12_ACTOCC15P
P12_SAL15P_TP	Salariés 15 ans ou plus TP en 2012 (princ)	Nombre de personnes salariées de 15 ans ou plus à temps partiel	people	P12_SAL15P
P12_HSAL15P_TP	Salariés 15 ans ou plus TP Hommes en 2012 (princ)	Nombre d'hommes salariés de 15 ans ou plus à temps partiel	people	P12_SAL15P
P12_FSAL15P_TP	Salariés 15 ans ou plus TP Femmes en 2012 (princ)	Nombre de femmes salariées de 15 ans ou plus à temps partiel	people	P12_SAL15P
P12_NSAL15P_TP	Non-salariés 15 ans ou plus TP en 2012 (princ)	Nombre de personnes non-salariées de 15 ans ou plus à temps partiel	people	P12_NSAL15P
P12_HACTOCC15P	Actifs occupés 15 ans ou plus Hommes en 2012 (princ)	Nombre d'hommes actifs occupés de 15 ans ou plus	people	P12_ACTOCC15P
P12_HSAL15P	Salariés 15 ans ou plus Hommes en 2012 (princ)	Nombre d'hommes salariés de 15 ans ou plus	people	P12_SAL15P
P12_HSAL15P_CDI	Salariés 15 ans ou plus Hommes Fonct publ, CDI en 2012 (princ)	Nombre d'hommes salariés de 15 ans ou plus titulaires de la fonction publique ou d'un contrat à durée indéterminée	people	P12_HSAL15P
P12_HSAL15P_CDD	Salariés 15 ans ou plus Hommes CDD en 2012 (princ)	Nombre d'hommes salariés de 15 ans ou plus ayant un  contrat à durée déterminée	people	P12_HSAL15P
P12_HSAL15P_INTERIM	Salariés 15 ans ou plus Hommes Intérim en 2012 (princ)	Nombre d'hommes salariés de 15 ans ou plus intérimaires	people	P12_HSAL15P
P12_HSAL15P_EMPAID	Salariés 15 ans ou plus Hommes Emplois aidés en 2012 (princ)	Nombre d'hommes salariés de 15 ans ou plus Emplois aidés	people	P12_HSAL15P
P12_HSAL15P_APPR	Salariés 15 ans ou plus Hommes Apprentissage - Stage en 2012 (princ)	Nombre d'hommes salariés de 15 ans ou plus en apprentissage ou stagiaire	people	P12_HSAL15P
P12_HNSAL15P	Non-salariés 15 ans ou plus Hommes en 2012 (princ)	Nombre d'hommes non-salariés de 15 ans ou plus	people	P12_NSAL15P
P12_HNSAL15P_INDEP	Non-salariés 15 ans ou plus Hommes Indépendants en 2012 (princ)	Nombre d'hommes non-salariés de 15 ans ou plus indépendants	people	P12_HNSAL15P
P12_HNSAL15P_EMPLOY	Non-salariés 15 ans ou plus Hommes Employeurs en 2012 (princ)	Nombre d'hommes non-salariés de 15 ans ou plus employeurs	people	P12_HNSAL15P
P12_HNSAL15P_AIDFAM	Non-salariés 15 ans ou plus Hommes Aides familiaux en 2012 (princ)	Nombre d'hommes non-salariés de 15 ans ou plus aides familiaux	people	P12_HNSAL15P
P12_FACTOCC15P	Actifs occupés 15 ans ou plus Femmes en 2012 (princ)	Nombre de femmes actives occupées de 15 ans ou plus	people	P12_ACTOCC15P
P12_FSAL15P	Salariés 15 ans ou plus Femmes en 2012 (princ)	Nombre de femmes salariées de 15 ans ou plus	people	P12_SAL15P
P12_FSAL15P_CDI	Salariés 15 ans ou plus Femmes Fonct publ, CDI en 2012 (princ)	Nombre de femmes salariées de 15 ans ou plus titulaires de la fonction publique ou d'un contrat à durée indéterminée	people	P12_FSAL15P
P12_FSAL15P_CDD	Salariés 15 ans ou plus Femmes CDD en 2012 (princ)	Nombre de femmes salariées de 15 ans ou plus ayant un  contrat à durée déterminée	people	P12_FSAL15P
P12_FSAL15P_INTERIM	Salariés 15 ans ou plus Femmes Intérim en 2012 (princ)	Nombre de femmes salariées de 15 ans ou plus intérimaires	people	P12_FSAL15P
P12_FSAL15P_EMPAID	Salariés 15 ans ou plus Femmes Emplois aidés en 2012 (princ)	Nombre de femmes salariées de 15 ans ou plus Emplois aidés	people	P12_FSAL15P
P12_FSAL15P_APPR	Salariés 15 ans ou plus Femmes Apprentissage - Stage en 2012 (princ)	Nombre de femmes salariées de 15 ans ou plus en apprentissage, stagiaire	people	P12_FSAL15P
P12_FNSAL15P	Non-salariés 15 ans ou plus Femmes en 2012 (princ)	Nombre de femmes non-salariées de 15 ans ou plus	people	P12_NSAL15P
P12_FNSAL15P_INDEP	Non-salariés 15 ans ou plus Femmes Indépendantes en 2012 (princ)	Nombre de femmes non-salariées de 15 ans ou plus indépendantes	people	P12_FNSAL15P
P12_FNSAL15P_EMPLOY	Non-salariés 15 ans ou plus Femmes Employeurs en 2012 (princ)	Nombre de femmes non-salariées de 15 ans ou plus employeurs	people	P12_FNSAL15P
P12_FNSAL15P_AIDFAM	Non-salariés 15 ans ou plus Femmes Aides familiales en 2012 (princ)	Nombre de femmes non-salariées de 15 ans ou plus aides familiales	people	P12_FNSAL15P
P12_HSAL1564	Salariés 15-64 ans Hommes en 2012 (princ)	Nombre d'hommes salariés de 15 à 64 ans	people	P12_HSAL15P
P12_HSAL1524	Salariés 15-24 ans Hommes en 2012 (princ)	Nombre d'hommes salariés de 15 à 24 ans	people	P12_HSAL15P
P12_HSAL2554	Salariés 25-54 ans Hommes en 2012 (princ)	Nombre d'hommes salariés de 25 à 54 ans	people	P12_HSAL15P
P12_HSAL5564	Salariés 55-64 ans Hommes en 2012 (princ)	Nombre d'hommes salariés de 55 à 64 ans	people	P12_HSAL15P
P12_HSAL1564_TP	Salariés 15-64 ans Hommes TP en 2012 (princ)	Nombre d'hommes salariés de 15 à 64 ans à temps partiel	people	P12_HSAL1564
P12_HSAL1524_TP	Salariés 15-24 ans Hommes TP en 2012 (princ)	Nombre d'hommes salariés de 15 à 24 ans à temps partiel	people	P12_HSAL1524
P12_HSAL2554_TP	Salariés 25-54 ans Hommes TP en 2012 (princ)	Nombre d'hommes salariés de 25 à 54 ans à temps partiel	people	P12_HSAL2554
P12_HSAL5564_TP	Salariés 55-64 ans Hommes TP en 2012 (princ)	Nombre d'hommes salariés de 55 à 64 ans à temps partiel	people	P12_HSAL5564
P12_FSAL1564	Salariés 15-64 ans Femmes en 2012 (princ)	Nombre de femmes salariées de 15 à 64 ans	people	P12_FSAL15P
P12_FSAL1524	Salariés 15-24 ans Femmes en 2012 (princ)	Nombre de femmes salariées de 15 à 24 ans	people	P12_FSAL15P
