VAR_CODE	VAR_LIB	VAR_LIB_LONG	UNITS	DENOMINATORS	DESCRIPTION	INSEE_DEFINITION_URL
P12_POP1564	Pop 15-64 ans en 2012 (princ)	Nombre de personnes de 15 à 64 ans	people	P12_POP		
P12_POP1524	Pop 15-24 ans en 2012 (princ)	Nombre de personnes de 15 à 24 ans	people	P12_POP		
P12_POP2554	Pop 25-54 ans en 2012 (princ)	Nombre de personnes de 25 à 54 ans	people	P12_POP		
P12_POP5564	Pop 55-64 ans en 2012 (princ)	Nombre de personnes de 55 à 64 ans	people	P12_POP		
P12_H1564	Pop 15-64 ans Hommes en 2012 (princ)	Nombre d'hommes de 15 à 64 ans	people	P12_POP1564		
P12_H1524	Pop 15-24 ans Hommes en 2012 (princ)	Nombre d'hommes de 15 à 24 ans	people	P12_POP1524		
P12_H2554	Pop 25-54 ans Hommes en 2012 (princ)	Nombre d'hommes de 25 à 54 ans	people	P12_POP2554		
P12_H5564	Pop 55-64 ans Hommes en 2012 (princ)	Nombre d'hommes de 55 à 64 ans	people	P12_POP5564		
P12_F1564	Pop 15-64 ans Femmes en 2012 (princ)	Nombre de femmes de 15 à 64 ans	people	P12_POP1564		
P12_F1524	Pop 15-24 ans Femmes en 2012 (princ)	Nombre de femmes de 15 à 24 ans	people	P12_POP1524		
P12_F2554	Pop 25-54 ans Femmes en 2012 (princ)	Nombre de femmes de 25 à 54 ans	people	P12_POP2554		
P12_F5564	Pop 55-64 ans Femmes en 2012 (princ)	Nombre de femmes de 55 à 64 ans	people	P12_POP5564		
P12_ACT1564	Actifs 15-64 ans en 2012 (princ)	Nombre de personnes actives de 15 à 64 ans	people	P12_POP1564		
P12_ACT1524	Actifs 15-24 ans en 2012 (princ)	Nombre de personnes actives de 15 à 24 ans	people	P12_POP1524		
P12_ACT2554	Actifs 25-54 ans en 2012 (princ)	Nombre de personnes actives de 25 à 54 ans	people	P12_POP2554		
P12_ACT5564	Actifs 55-64 ans en 2012 (princ)	Nombre de personnes actives de 55 à 64 ans	people	P12_POP5564		
P12_HACT1564	Actifs 15-64 ans Hommes en 2012 (princ)	Nombre d'hommes actifs de 15 à 64 ans	people	P12_ACT1564		
P12_HACT1524	Actifs 15-24 ans Hommes en 2012 (princ)	Nombre d'hommes actifs de 15 à 24 ans	people	P12_ACT1524		
P12_HACT2554	Actifs 25-54 ans Hommes en 2012 (princ)	Nombre d'hommes actifs de 25 à 54 ans	people	P12_ACT2554		
P12_HACT5564	Actifs 55-64 ans Hommes en 2012 (princ)	Nombre d'hommes actifs de 55 à 64 ans	people	P12_ACT5564		
