var_code	short_name	long_name	universe	unit	denominators	subsections
NBMEN12	nombre de ménages fiscaux		Distribution des revenus déclarés par unité de consommation et composition du revenu déclaré - Ensemble	households		income
NBPERS12	nombre de personnes dans les ménages fiscaux		Distribution des revenus déclarés par unité de consommation et composition du revenu déclaré - Ensemble	people		income
NBUC12	nbre d'unités de consommation dans les ménages fiscaux		Distribution des revenus déclarés par unité de consommation et composition du revenu déclaré - Ensemble	tax_consumption_units		income
PMIMP12	Part des ménages fiscaux imposés		Distribution des revenus déclarés par unité de consommation et composition du revenu déclaré - Ensemble	ratio		income
Q112	1er quartile		Distribution des revenus déclarés par unité de consommation et composition du revenu déclaré - Ensemble	money		income
Q212	médiane		Distribution des revenus déclarés par unité de consommation et composition du revenu déclaré - Ensemble	money		income
Q312	3e quartile		Distribution des revenus déclarés par unité de consommation et composition du revenu déclaré - Ensemble	money		income
Q3_Q1	Ecart interquartile		Distribution des revenus déclarés par unité de consommation et composition du revenu déclaré - Ensemble	money		income
D112	1er décile		Distribution des revenus déclarés par unité de consommation et composition du revenu déclaré - Ensemble	money		income
D212	2e décile		Distribution des revenus déclarés par unité de consommation et composition du revenu déclaré - Ensemble	money		income
D312	3e décile		Distribution des revenus déclarés par unité de consommation et composition du revenu déclaré - Ensemble	money		income
D412	4e décile		Distribution des revenus déclarés par unité de consommation et composition du revenu déclaré - Ensemble	money		income
D612	6e décile		Distribution des revenus déclarés par unité de consommation et composition du revenu déclaré - Ensemble	money		income
D712	7e décile		Distribution des revenus déclarés par unité de consommation et composition du revenu déclaré - Ensemble	money		income
D812	8e décile		Distribution des revenus déclarés par unité de consommation et composition du revenu déclaré - Ensemble	money		income
D912	9e décille		Distribution des revenus déclarés par unité de consommation et composition du revenu déclaré - Ensemble	money		income
RD	rapport interdécile D9/D1		Distribution des revenus déclarés par unité de consommation et composition du revenu déclaré - Ensemble	ratio		income
S80S2012	S80/S20		Distribution des revenus déclarés par unité de consommation et composition du revenu déclaré - Ensemble	ratio		income
GI12	indice de Gini		Distribution des revenus déclarés par unité de consommation et composition du revenu déclaré - Ensemble	index		income
PTSA12	Part des salaires et traitements hors chômage		Distribution des revenus déclarés par unité de consommation et composition du revenu déclaré - Ensemble	ratio		income
PCHO12	Part des indemnités chômage		Distribution des revenus déclarés par unité de consommation et composition du revenu déclaré - Ensemble	ratio		income
PBEN12	Part des revenus d'activités non salariées		Distribution des revenus déclarés par unité de consommation et composition du revenu déclaré - Ensemble	ratio		income
PPEN12	Part des pensions, retraites et rentes		Distribution des revenus déclarés par unité de consommation et composition du revenu déclaré - Ensemble	ratio		income
PAUT12	Part des autres revenus		Distribution des revenus déclarés par unité de consommation et composition du revenu déclaré - Ensemble	ratio		income
